VRM,OfferDate,Condition,Age,Mileage,PreviousOwners,ServiceHistory,Make,Model,TransmissionType,FuelType,Colour,BodyType,TradeValuation1,CompetitorB,CompetitorC
YK11KLL,2021-05-09,poor,10.2,148500,3,partial,Audi,A3,Manual,Diesel,Black,Hatchback,2352,1647,2300
CX11FSJ,2021-05-09,poor,10.1,90000,3,partial,Volkswagen,Scirocco,Automatic,Diesel,Grey,Coupe,4627,3054,3675
HG12ASU,2021-05-09,average,9.1,72522,2,partial,Suzuki,Alto,Manual,Petrol,Blue,Hatchback,1047,577,1025
S44PHB,2021-05-09,good,7.9,42000,1,full,Vauxhall,Corsa,Manual,Petrol,White,Hatchback,2900,2497,3500
KB07PVX,2021-05-09,average,13.9,132000,2,partial,Audi,A3,Automatic,Diesel,Grey,Hatchback,985,758,1175
LB14FXD,2021-05-09,good,6.8,135000,2,none,BMW,1 Series,Manual,Diesel,White,Hatchback,3201,2292,3875
CV66YSR,2021-05-09,good,4.6,35000,2,partial,Vauxhall,Corsa,Manual,Petrol,Grey,Hatchback,3625,2994,3625
KD07PUU,2021-05-09,poor,14,93000,4,none,Ford,Focus,Manual,Petrol,Grey,Hatchback,515,253,375
EJ62FBO,2021-05-09,excellent,8.5,28000,2,full,MINI,Hatch,Automatic,Petrol,White,Hatchback,5765,5140,5650
YR11UMF,2021-05-09,good,10.1,122786,3,partial,Volkswagen,Passat,Manual,Diesel,Silver,Saloon,1950,1356,1950
NG08NGY,2021-05-09,poor,13,98000,3,partial,Renault,Clio,Manual,Petrol,Blue,Hatchback,425,230,325
KV65VBE,2021-05-09,good,5.5,80000,2,full,Land Rover,Range Rover Sport,Automatic,Diesel,Black,SUV,23284,22890,24000
NU58PUH,2021-05-09,poor,12.6,62900,2,none,Ford,C-Max,Manual,Petrol,Grey,MPV,1065,334,750
CK13UOY,2021-05-09,good,7.9,45000,4,partial,Vauxhall,Meriva,Manual,Petrol,Blue,MPV,2489,1373,2225
BD65OPF,2021-05-09,average,5.3,47800,2,full,DS AUTOMOBILES,DS 3,Manual,Diesel,Red,Hatchback,4084,3304,3825
GK13XYH,2021-05-09,good,8.1,48500,1,full,Ford,Focus,Automatic,Petrol,Black,Hatchback,4030,3377,3925
WJ15ODA,2021-05-09,good,6,70000,1,partial,Renault,Captur,Manual,Diesel,Multicolour,SUV,4392,3940,4850
RE62ATF,2021-05-09,good,8.6,42000,1,partial,Hyundai,i40,Manual,Diesel,Silver,Saloon,3562,2530,3400
LX06VBB,2021-05-09,average,15.2,92000,4,full,Hyundai,Matrix,Manual,Petrol,Red,Hatchback,150,162,200
HY14LKO,2021-05-09,good,7,81935,1,partial,Nissan,Juke,Manual,Petrol,Grey,SUV,3794,2754,4050
DV60UCT,2021-05-09,poor,10.3,128000,4,none,Vauxhall,Astra,Manual,Petrol,Silver,Hatchback,607,308,600
MF08VBO,2021-05-09,average,13.2,42000,2,partial,Citroen,C1,Manual,Petrol,Black,Hatchback,1002,442,800
SV09LWD,2021-05-09,average,12.2,99000,3,full,Ford,Focus,Manual,Petrol,Black,Hatchback,775,499,850
P111GSW,2021-05-09,good,7.7,90800,2,partial,BMW,3 Series,Automatic,Diesel,White,Estate,9999,8142,9900
LR12WMJ,2021-05-09,average,9,72000,3,none,Peugeot,308,Manual,Petrol,Grey,Hatchback,1427,753,1425
VE15UMG,2021-05-09,average,5.8,56000,0,partial,MG,MG3,Manual,Petrol,Yellow,Hatchback,2329,1797,2050
RO06VWA,2021-05-09,average,15.1,95000,3,partial,Renault,Clio,Manual,Petrol,Silver,Hatchback,150,50,225
RO15VTT,2021-05-09,average,6,62000,3,partial,Infiniti,Q50,Automatic,Diesel,Black,Saloon,6763,6065,6800
LB06VAA,2021-05-09,poor,14.9,51000,1,partial,Ford,Focus,Manual,Petrol,Black,Hatchback,924,347,525
BF13LMV,2021-05-09,good,8.1,100005,1,partial,Ford,Focus,Manual,Diesel,Red,Hatchback,1958,1557,2125
AP15SWV,2021-05-09,good,5.7,80000,1,full,Volvo,V40,Manual,Diesel,Blue,Hatchback,4254,3855,4600
AF11HSL,2021-05-09,good,10.2,36200,1,full,Chevrolet,Spark,Manual,Petrol,Blue,Hatchback,1028,743,1200
PE08KOB,2021-05-09,poor,13.2,118600,4,partial,Mercedes-Benz,C Class,Manual,Diesel,Black,Saloon,1810,1135,1500
YH13VJN,2021-05-09,excellent,7.9,65000,1,full,MINI,Hatch,Manual,Diesel,White,Hatchback,3125,3395,3500
YB07KRD,2021-05-09,average,13.9,71000,4,none,Volkswagen,Golf,Manual,Petrol,Silver,Hatchback,1112,605,1075
AP59ALS,2021-05-09,good,4.8,60000,1,full,Honda,CR-V,Manual,Diesel,Blue,SUV,8493,7477,8600
SV09YRJ,2021-05-09,poor,12,57000,2,full,Vauxhall,Agila,Manual,Petrol,Red,Hatchback,506,347,475
KY12UTE,2021-05-09,good,9.2,130000,4,partial,Peugeot,308,Manual,Diesel,Silver,Hatchback,408,426,750
SG08WUB,2021-05-09,excellent,13.2,55000,1,full,Renault,Megane,Manual,Petrol,Blue,Hatchback,389,920,550
MA64CPU,2021-05-09,poor,6.6,76000,1,partial,Hyundai,ix35,Manual,Diesel,Silver,SUV,5069,4110,4125
LM08SWN,2021-05-09,good,13,141000,4,partial,Ford,Mondeo,Manual,Diesel,Grey,Hatchback,519,439,725
RK13ERO,2021-05-09,good,8.1,42375,1,full,Fiat,Panda,Manual,Diesel,White,Hatchback,2344,2159,2500
PW05JVW,2021-05-09,good,7.5,37750,2,partial,Renault,Clio,Manual,Petrol,Yellow,Hatchback,3652,2576,4025
A15UUE,2021-05-09,good,6.7,48000,4,full,Mercedes-Benz,A Class,Manual,Diesel,Silver,Hatchback,7581,7241,7700
WR67CZO,2021-05-09,good,3.6,67000,0,full,Citroen,C4 Cactus,Manual,Petrol,Silver,Hatchback,4747,4095,4875
CE09ZPZ,2021-05-09,poor,11.9,100000,2,none,Ford,Fiesta,Manual,Petrol,Red,Hatchback,1180,726,975
EK11LUE,2021-05-09,average,10.1,45000,3,partial,Peugeot,207 CC,Manual,Petrol,Black,Convertible,1575,950,1225
YM62ATV,2021-05-09,poor,8.3,39000,1,full,SEAT,Mii,Manual,Petrol,Black,Hatchback,2170,1631,1700
FP61NXU,2021-05-09,poor,9.5,74855,3,partial,Nissan,Juke,Manual,Petrol,Silver,SUV,2785,1924,2275
YC61OGD,2021-05-09,poor,9.4,85000,2,partial,BMW,1 Series,Manual,Diesel,White,Hatchback,3918,2712,3425
SM11HRK,2021-05-09,good,10,68000,2,partial,MINI,Countryman,Manual,Petrol,Blue,SUV,3474,2491,3475
EA09OEF,2021-05-09,poor,12,66000,3,none,Mitsubishi,Colt,Automatic,Petrol,Blue,Hatchback,915,426,625
EN64NFV,2021-05-09,good,6.3,48888,1,full,Ford,Fiesta,Manual,Petrol,Black,Hatchback,3670,2994,3850
KS07YFP,2021-05-09,poor,13.9,130000,3,partial,Vauxhall,Astra,Automatic,Petrol,Black,Convertible,150,189,250
N25BMS,2021-05-09,good,7.2,63500,3,full,SEAT,Leon,Manual,Diesel,White,Estate,5300,4457,5650
AK64MMF,2021-05-09,poor,6.5,38000,3,partial,Kia,Picanto,Manual,Petrol,White,Hatchback,3587,2100,2625
HK08OJS,2021-05-09,poor,12.9,190000,3,none,BMW,5 Series,Manual,Diesel,Red,Saloon,347,297,675
NX60XBL,2021-05-09,average,10.7,120236,2,full,Land Rover,Freelander 2,Automatic,Diesel,Silver,SUV,4887,3723,4425
MY61GAV,2021-05-09,good,5.2,70000,2,partial,Audi,A7,Automatic,Diesel,Grey,Hatchback,14546,13420,14900
WN13PNE,2021-05-09,average,8.1,48000,3,full,Fiat,500,Manual,Petrol,Blue,Hatchback,2570,1781,2250
BF13EGY,2021-05-09,good,8.1,62500,2,partial,Ford,Focus,Manual,Diesel,Silver,Hatchback,3387,2354,3375
CE63FZC,2021-05-09,good,7.6,108000,3,partial,BMW,1 Series,Manual,Diesel,Blue,Hatchback,4596,3528,4925
DU07ZGS,2021-05-09,good,14.1,83500,1,full,Saab,9-3,Manual,Diesel,Silver,Saloon,908,427,625
NG59EOU,2021-05-09,good,11.3,68000,3,partial,Ford,Fiesta,Manual,Petrol,Green,Hatchback,2127,1406,2050
MJ61VHA,2021-05-09,good,9.5,68000,4,partial,Mercedes-Benz,E Class,Automatic,Diesel,Silver,Convertible,7809,7343,7100
BJ62LLG,2021-05-09,average,8.5,98000,2,partial,Vauxhall,Astra GTC,Automatic,Petrol,Grey,Coupe,2252,1466,2075
FD13OEH,2021-05-09,poor,7.8,59000,2,full,Ford,Mondeo,Manual,Diesel,Grey,Hatchback,3958,2255,3375
LV08OWD,2021-05-09,good,13.1,60000,2,full,Renault,Clio,Manual,Petrol,Black,Hatchback,780,431,650
FY58NKU,2021-05-09,good,12.6,54821,1,full,Ford,Fiesta,Manual,Petrol,Blue,Hatchback,1890,1490,2000
BJ58PUV,2021-05-09,good,12.5,58790,1,partial,Honda,Civic,Automatic,Petrol,Grey,Hatchback,2514,1879,2675
FE57UKO,2021-05-09,poor,13.7,53755,3,partial,Toyota,Auris,Automatic,Petrol,Silver,Hatchback,2268,1135,1550
SM64TFA,2021-05-09,excellent,6.2,76000,2,full,BMW,3 Series,Automatic,Diesel,White,Saloon,9466,10255,10600
N27CPL,2021-05-09,average,6.9,85000,4,full,Volkswagen,Golf,Manual,Diesel,Red,Hatchback,8173,7126,7350
LG65NVW,2021-05-09,poor,5.6,70000,0,partial,Ford,Focus,Manual,Petrol,Black,Estate,4588,3495,3700
EF12YFG,2021-05-09,average,8.9,105993,2,partial,Nissan,Juke,Manual,Petrol,Black,SUV,3507,2511,2900
LV13AUF,2021-05-09,average,8.1,81430,3,partial,BMW,3 Series,Manual,Petrol,White,Coupe,4971,4576,4450
WM12CXS,2021-05-09,good,8.7,35000,1,partial,Vauxhall,Agila,Automatic,Petrol,Silver,Hatchback,2702,2576,3100
VK65CDX,2021-05-09,good,5.5,64500,2,partial,Kia,Sportage,Manual,Diesel,White,SUV,6394,5831,6950
LB59UBN,2021-05-09,poor,11.3,170000,1,none,Honda,CR-V,Manual,Diesel,Silver,SUV,1244,816,1275
YG62BVX,2021-05-09,good,8.6,67000,1,none,Ford,Focus,Manual,Diesel,Black,Hatchback,3878,2994,3650
AU14LXA,2021-05-09,average,6.9,96000,0,full,Renault,Megane,Manual,Diesel,Black,Hatchback,2294,1873,2400
MK12YRS,2021-05-09,good,8.9,73000,2,partial,Vauxhall,Corsa,Manual,Petrol,Black,Hatchback,1311,906,1500
RO17NKR,2021-05-09,good,4,75000,0,full,Audi,Q3,Manual,Diesel,Grey,SUV,14747,13461,14950
HV11EHE,2021-05-09,average,10.1,65500,1,partial,Vauxhall,Corsa,Manual,Petrol,Blue,Hatchback,1472,1025,1350
KT65SXA,2021-05-09,good,5.2,36598,2,partial,Citroen,C1,Manual,Petrol,Red,Hatchback,3888,3188,3550
L6TLH,2021-05-09,good,10,67000,2,none,Vauxhall,Corsa,Manual,Petrol,Yellow,Hatchback,1272,663,1375
LO10XSJ,2021-05-09,good,10.8,66000,3,partial,Ford,Ka,Manual,Petrol,Red,Hatchback,994,599,1225
SD61ZYG,2021-05-09,average,9.5,70000,0,partial,MINI,Hatch,Manual,Petrol,White,Hatchback,2813,2511,2850
SK15PYF,2021-05-09,excellent,6.1,107000,3,full,SKODA,Octavia,Manual,Diesel,Blue,Hatchback,4041,4230,4550
WJ11YKU,2021-05-09,average,10.1,80000,2,partial,Nissan,Qashqai,Manual,Diesel,Silver,SUV,3146,2268,2900
DN59EGX,2021-05-09,poor,11.5,117000,3,full,Vauxhall,Corsa,Manual,Petrol,Black,Hatchback,371,272,400
AK62WCT,2021-05-09,good,8.5,38000,3,full,Audi,TT,Manual,Petrol,Blue,Coupe,7597,5831,7500
LY63MTZ,2021-05-09,average,7.5,83500,1,partial,Ford,Focus,Manual,Petrol,Black,Hatchback,4032,2568,3700
BL13VPO,2021-05-09,average,7.8,59000,4,none,Vauxhall,Corsa,Manual,Petrol,Silver,Hatchback,1491,741,1350
AU63YHA,2021-05-09,average,7.6,63500,2,partial,Ford,Focus,Manual,Petrol,Black,Hatchback,3275,2231,3050
ND08SXE,2021-05-09,average,13.1,133000,4,partial,Audi,A5,Manual,Petrol,White,Coupe,1848,1388,2050
EJ61YKV,2021-05-09,average,9.3,66000,1,full,Vauxhall,Zafira,Manual,Diesel,Blue,MPV,2337,1609,1750
LV64KFY,2021-05-09,excellent,6.6,55000,2,full,SEAT,Ibiza,Manual,Petrol,Red,Hatchback,3610,4000,4050
RX63OHL,2021-05-09,average,7.6,92249,1,full,Kia,Ceed,Manual,Diesel,Blue,Hatchback,2450,1745,2400
HT66ANV,2021-05-09,average,4.3,60600,2,full,Ford,Focus,Manual,Diesel,Black,Hatchback,10075,9192,9300
YT58RXY,2021-05-09,average,12.7,126000,1,partial,Ford,Mondeo,Manual,Diesel,Black,Hatchback,467,371,625
EN13KRJ,2021-05-09,good,7.8,67000,2,none,Ford,S-Max,Automatic,Diesel,Black,MPV,7310,5950,6750
BK10HCG,2021-05-09,average,11.1,111000,1,partial,Peugeot,107,Manual,Petrol,Silver,Hatchback,252,345,500
CE64SBV,2021-05-09,average,6.6,57431,1,full,Citroen,C4 Cactus,Manual,Diesel,White,Hatchback,3847,3299,3750
YX12VYZ,2021-05-09,good,9,59620,2,full,Lexus,CT 200h,Automatic,Petrol Hybrid,Blue,Hatchback,6219,6068,6100
MF12PWZ,2021-05-09,poor,9.1,67500,1,partial,Ford,Focus,Manual,Petrol,Blue,Estate,3522,2318,2500
LT63UXD,2021-05-09,excellent,7.3,87000,3,none,Ford,S-Max,Automatic,Diesel,White,MPV,6562,6160,6350
EF16HMA,2021-05-09,excellent,4.9,46000,2,full,Toyota,AYGO,Manual,Petrol,White,Hatchback,3799,4265,4125
EO09DJV,2021-05-09,average,12.2,100000,1,partial,Ford,Fiesta,Manual,Petrol,Silver,Hatchback,1293,1004,1300
BG06NVL,2021-05-09,poor,15,102100,4,none,Mercedes-Benz,C Class,Automatic,Petrol,Black,Coupe,509,347,500
RE08ETD,2021-05-09,poor,12.9,87183,4,none,Vauxhall,Zafira,Manual,Petrol,Blue,MPV,469,297,475
HK15TVV,2021-05-09,average,5.9,65000,2,partial,Renault,Captur,Manual,Diesel,Black,SUV,4509,3773,4550
BD12LJE,2021-05-09,excellent,8.8,110000,1,full,Ford,Focus,Manual,Petrol,Black,Hatchback,1975,2160,2200
GU07GKY,2021-05-09,poor,14.2,92000,3,none,Ford,Focus,Manual,Petrol,Red,Hatchback,341,249,375
SC16DLO,2021-05-09,good,5,62000,1,full,Renault,Captur,Manual,Diesel,Silver,SUV,5682,5358,6200
DA15DYT,2021-05-09,average,6.1,45000,2,partial,Nissan,Micra,Automatic,Petrol,Blue,Hatchback,3843,3393,4000
YL06AYZ,2021-05-09,poor,14.8,125000,2,partial,Volkswagen,Touran,Manual,Diesel,Silver,MPV,416,297,550
MX63AVF,2021-05-09,good,7.7,65000,1,partial,Audi,A3,Manual,Petrol,Blue,Hatchback,5805,5042,6000
KS15PLF,2021-05-09,good,6,61000,0,partial,Volkswagen,Golf,Manual,Diesel,Black,Hatchback,10243,9908,10400
NA63JBY,2021-05-09,good,7.5,67000,2,full,Ford,Focus,Manual,Petrol,Black,Hatchback,3595,2501,3650
VU62VNJ,2021-05-09,poor,8.2,54800,2,none,Vauxhall,Astra,Manual,Diesel,Blue,Estate,2302,1037,1500
MT10FAM,2021-05-09,poor,11,54000,1,none,Toyota,Yaris,Automatic,Petrol,Silver,Hatchback,2760,1924,2250
RA06HFM,2021-05-09,average,14.7,138000,4,partial,Land Rover,Freelander,Automatic,Diesel,Black,SUV,259,737,1025
WR13XYN,2021-05-09,good,7.9,55000,0,full,Renault,Clio,Manual,Petrol,White,Hatchback,2798,2342,3450
KM09OKV,2021-05-09,poor,11.9,115900,3,partial,Mercedes-Benz,E Class,Automatic,Diesel,Black,Estate,2616,1530,1725
WX16ZPM,2021-05-09,good,5.2,42174,1,full,Dacia,Sandero Stepway,Manual,Petrol,Blue,Hatchback,3939,3492,3900
SV13RGX,2021-05-10,poor,8,62145,1,partial,SKODA,Superb,Manual,Diesel,Black,Estate,5147,3644,3800
NA14ZBN,2021-05-10,good,7,60000,2,partial,Peugeot,208,Manual,Diesel,White,Hatchback,2715,2159,3125
LD12CWY,2021-05-10,good,9.2,66700,1,partial,Volkswagen,Passat,Manual,Diesel,Black,Saloon,3616,2716,3650
GJ12DPZ,2021-05-10,poor,9.2,90000,0,full,SKODA,Fabia,Manual,Diesel,Grey,Estate,1651,804,1150
LX63CFN,2021-05-10,good,7.6,39000,2,partial,Nissan,Qashqai,Manual,Petrol,Grey,SUV,6222,5146,6500
ML15DVT,2021-05-10,excellent,6.1,74300,1,full,Audi,A4,Manual,Diesel,Black,Saloon,6670,7580,7400
EA61EZT,2021-05-10,average,9.6,80000,3,partial,Ford,C-Max,Manual,Diesel,Black,MPV,2086,1527,1825
LL11NAA,2021-05-10,average,9.8,99000,1,partial,Vauxhall,Zafira,Manual,Diesel,Blue,MPV,1173,671,1100
GL61XME,2021-05-10,good,9.2,120000,1,partial,Ford,Focus,Manual,Petrol,Black,Hatchback,1822,1243,1900
LB10AEM,2021-05-10,poor,11,107122,4,partial,Volkswagen,Polo,Manual,Petrol,White,Hatchback,1759,961,1575
KN65PAO,2021-05-10,excellent,5.6,82000,1,full,Land Rover,Discovery Sport,Automatic,Diesel,Red,SUV,14065,15615,14500
AK62WCT,2021-05-10,good,8.5,38080,3,full,Audi,TT,Manual,Petrol,Blue,Coupe,7644,6259,7500
MB04GJB,2021-05-10,good,9.1,83000,2,full,Honda,CR-V,Manual,Diesel,Black,SUV,5100,4340,4825
OU14OKG,2021-05-10,good,7.1,92000,2,full,Mercedes-Benz,E Class,Automatic,Diesel,Black,Saloon,7468,7015,7550
WV07FSG,2021-05-10,poor,14,148000,2,partial,Saab,9-3,Manual,Diesel,Grey,Saloon,150,133,200
CU63YBY,2021-05-10,excellent,7.4,39000,3,full,Kia,Picanto,Manual,Petrol,Silver,Hatchback,2444,2170,2675
DE15BKY,2021-05-10,excellent,6.1,68879,1,full,Volkswagen,Golf,Manual,Diesel,White,Convertible,6806,8000,6350
WN14OZX,2021-05-10,poor,7.1,38393,2,partial,Toyota,Yaris,Manual,Petrol,Red,Hatchback,4060,2712,3350
PL07YRM,2021-05-10,poor,13.8,110000,2,full,Nissan,Note,Automatic,Petrol,Silver,Hatchback,482,371,675
Y10GTH,2021-05-10,excellent,7.9,65000,4,partial,Mercedes-Benz,E Class,Automatic,Diesel,White,Coupe,7315,7210,7400
LB59UBN,2021-05-10,average,11.3,170000,1,partial,Honda,CR-V,Manual,Diesel,Silver,SUV,1234,984,1550
SF13ZXA,2021-05-10,good,8.2,67000,1,full,Volvo,XC70,Automatic,Diesel,Green,Estate,10188,9929,9550
NG60EHX,2021-05-10,good,10.3,45000,1,full,Volkswagen,Tiguan,Manual,Diesel,Silver,SUV,6342,4710,5300
DG59FSU,2021-05-10,poor,11.6,78000,1,full,Ford,Fiesta,Manual,Diesel,Blue,Hatchback,1398,741,1150
WF12MJJ,2021-05-10,average,9.1,180000,3,partial,Audi,A6 Avant,Manual,Diesel,Black,Estate,3811,2901,3650
YH10OES,2021-05-10,good,11,101000,4,partial,BMW,1 Series,Automatic,Diesel,Blue,Hatchback,2719,2050,3100
LS16NXJ,2021-05-10,good,5.1,84000,2,full,Mercedes-Benz,E Class,Automatic,Diesel,Blue,Saloon,9662,9443,10000
DS08ZKN,2021-05-10,average,12.8,217386,2,none,Vauxhall,Vectra,Manual,Petrol,Blue,Hatchback,150,50,100
ND56ZKE,2021-05-10,good,14.5,101000,1,partial,Peugeot,206,Manual,Petrol,Silver,Hatchback,150,228,350
BJ12VLT,2021-05-10,average,9,124756,1,full,BMW,X3,Manual,Diesel,White,SUV,5662,5278,5400
VN11JMV,2021-05-10,excellent,10,58200,1,full,Audi,A5,Manual,Diesel,Red,Hatchback,5227,6000,5750
HY10VRV,2021-05-10,good,11.2,58000,2,full,Peugeot,107,Manual,Petrol,Red,Hatchback,1033,622,1175
AJ59ZXW,2021-05-10,poor,11.5,45000,2,partial,Volkswagen,Polo,Manual,Petrol,Silver,Hatchback,2307,1194,1775
SN15KDU,2021-05-10,good,6.2,110000,1,partial,Audi,A6 Avant,Automatic,Diesel,Grey,Estate,10811,10023,10850
HJ14LLM,2021-05-10,good,7,103000,2,partial,Ford,Focus,Manual,Diesel,Silver,Hatchback,2230,1749,2475
YM65BZG,2021-05-10,good,5.3,62000,2,partial,BMW,1 Series,Manual,Diesel,Black,Hatchback,6571,6273,6650
PE60VHX,2021-05-10,average,10.5,137000,2,partial,Volkswagen,Golf,Automatic,Diesel,Silver,Hatchback,2161,1261,1950
SW05LSW,2021-05-10,good,8.3,50000,1,partial,Audi,A3 Cabriolet,Manual,Diesel,Red,Convertible,6413,5083,6250
SS16AEO,2021-05-10,average,4.9,72500,1,full,Hyundai,Tucson,Automatic,Diesel,Grey,SUV,8637,8076,8550
A5OJC,2021-05-10,good,7.1,60000,1,full,Volkswagen,Tiguan,Manual,Diesel,White,SUV,7366,6640,7900
FN59EBL,2021-05-10,excellent,11.3,79000,2,full,Volkswagen,Polo,Manual,Diesel,Red,Hatchback,1996,2080,1975
DP15AXM,2021-05-10,average,5.9,73000,2,full,Nissan,Qashqai,Manual,Diesel,Black,SUV,6406,5924,6350
H2WHT,2021-05-10,poor,7.1,111000,1,partial,Volvo,V60,Automatic,Diesel,Grey,Estate,3920,3294,3775
YG58XEA,2021-05-10,good,12.6,81000,4,partial,Citroen,C-Crosser,Manual,Diesel,Grey,SUV,2129,1452,1675
RE14NUW,2021-05-10,good,7,94000,1,partial,Audi,A5,Manual,Diesel,Black,Hatchback,7194,6785,7600
YH57CDU,2021-05-10,average,13.7,100600,4,full,Toyota,AYGO,Manual,Petrol,Silver,Hatchback,426,349,450
LS18MDK,2021-05-10,good,3,10000,1,full,BMW,M4,Automatic,Petrol,Grey,Coupe,35330,35822,36100
L19JLY,2021-05-10,good,8.7,70000,0,partial,Audi,A1,Manual,Diesel,White,Hatchback,4580,3713,4875
T400MLC,2021-05-10,average,6.3,111500,2,full,BMW,6 Series Gran Coupe,Automatic,Diesel,Black,Saloon,11723,10604,11750
VE10PZY,2021-05-10,average,10.8,85000,1,partial,Vauxhall,Astra,Manual,Petrol,Red,Hatchback,1081,634,1200
GK57WKA,2021-05-10,average,13.7,83064,3,partial,MINI,Hatch,Manual,Petrol,White,Hatchback,1940,1276,1725
LY60BSO,2021-05-10,poor,10.3,92377,1,full,Kia,Soul,Automatic,Diesel,Silver,SUV,1684,1017,1375
PJ57ZTO,2021-05-10,poor,13.4,109000,4,none,Nissan,Note,Automatic,Petrol,Grey,Hatchback,751,382,775
VU62URW,2021-05-10,good,8.6,144000,1,partial,Vauxhall,Insignia,Manual,Diesel,Blue,Estate,957,634,1025
PE60VHX,2021-05-10,good,10.5,136800,2,partial,Volkswagen,Golf,Automatic,Diesel,Silver,Hatchback,2166,1323,2150
AE08TDU,2021-05-10,average,12.9,105000,1,full,BMW,3 Series,Automatic,Diesel,Grey,Saloon,2549,2210,2450
YG57NDE,2021-05-10,average,13.6,55000,3,none,Toyota,AYGO,Automatic,Petrol,Black,Hatchback,1888,926,1525
GD14FNC,2021-05-10,good,7,69696,1,full,Ford,Kuga,Manual,Diesel,Silver,SUV,6909,7127,6850
HV62NYS,2021-05-10,good,8.6,53000,0,partial,Peugeot,208,Manual,Petrol,Blue,Hatchback,2474,1816,2450
YJ18WRU,2021-05-10,good,3.2,34000,1,full,Land Rover,Range Rover,Automatic,Diesel,Grey,SUV,56785,43834,47300
KN11MFZ,2021-05-10,good,10.1,108000,4,partial,Mercedes-Benz,C Class,Automatic,Diesel,Black,Saloon,3400,2753,3600
OE19LLX,2021-05-10,good,1.9,5300,1,full,Mercedes-Benz,C Class,Automatic,Petrol,Black,Coupe,49211,46264,47800
KW12WGP,2021-05-10,good,8.7,49200,0,full,Nissan,Micra,Manual,Petrol,Grey,Hatchback,1709,1212,1725
NV58MZO,2021-05-10,poor,12.3,60000,1,full,Ford,Fiesta,Manual,Petrol,Silver,Hatchback,971,489,700
LY57HZX,2021-05-10,poor,13.4,62485,2,full,Audi,TT,Automatic,Petrol,Black,Convertible,6582,4110,4675
YX06VLE,2021-05-10,average,15.2,162000,3,none,BMW,3 Series,Manual,Petrol,Blue,Estate,667,368,700
AG58KJF,2021-05-10,good,12.4,117000,3,partial,Volkswagen,Passat,Automatic,Diesel,Blue,Saloon,958,1170,1275
X10WHU,2021-05-10,average,7.4,90000,3,partial,Hyundai,ix35,Automatic,Diesel,White,SUV,5247,3865,5200
C10RGO,2021-05-10,good,7.5,62000,2,partial,Vauxhall,Astra,Manual,Petrol,White,Hatchback,2964,2518,3650
AO58DGE,2021-05-10,poor,12.6,116000,4,partial,Ford,Focus,Manual,Diesel,Grey,Hatchback,381,271,475
EO56BOH,2021-05-10,poor,14.7,98000,4,none,Hyundai,Santa Fe,Automatic,Diesel,Blue,SUV,1323,883,1275
PL13DWE,2021-05-10,average,7.7,44000,2,full,BMW,1 Series,Automatic,Diesel,Blue,Hatchback,6606,5969,6400
PO63HKJ,2021-05-10,excellent,7.6,72000,2,none,Vauxhall,Meriva,Manual,Diesel,White,MPV,1949,1740,2050
T7GED,2021-05-10,good,9.1,61000,2,full,Mercedes-Benz,E Class,Automatic,Diesel,Silver,Estate,8152,6794,7100
DK59VZB,2021-05-10,average,11.7,98000,1,none,Vauxhall,Astra,Manual,Petrol,Blue,Hatchback,462,349,600
VN62STZ,2021-05-10,good,8.4,60000,1,partial,Peugeot,107,Manual,Petrol,Silver,Hatchback,1405,940,1475
LV13LFS,2021-05-10,average,8,46000,0,partial,Ford,Ka,Manual,Petrol,Black,Hatchback,2129,1462,1900
GV06VMP,2021-05-10,average,15,83000,2,full,Ford,Focus,Automatic,Petrol,Grey,Hatchback,974,502,775
EA63UGO,2021-05-10,good,7.4,91000,2,full,Ford,Focus,Manual,Petrol,Silver,Hatchback,2538,1954,2775
WV61VBU,2021-05-10,good,9.6,86140,4,partial,Ford,Kuga,Manual,Diesel,Black,SUV,4448,2994,3950
HG60XZU,2021-05-10,average,10.3,53000,1,partial,Chevrolet,Spark,Manual,Petrol,Green,Hatchback,699,527,825
MJ13XNV,2021-05-10,poor,8,35000,2,full,Vauxhall,Astra,Manual,Petrol,White,Hatchback,3447,2318,3100
DU13TZN,2021-05-10,good,7.8,64950,2,full,Alfa Romeo,Giulietta,Manual,Petrol,White,Hatchback,2674,2263,3225
HA05SET,2021-05-10,excellent,11.8,70588,1,partial,Land Rover,Range Rover,Automatic,Diesel,Silver,SUV,10405,11685,10550
SC62CMV,2021-05-10,good,8.3,93000,1,full,BMW,7 Series,Automatic,Diesel,Silver,Saloon,8138,6944,6850
AO15XZU,2021-05-10,good,5.9,70000,0,full,Volvo,V40,Manual,Diesel,Blue,Hatchback,5734,5670,5700
MX11PNN,2021-05-10,poor,10.1,69000,3,partial,Audi,A4 Avant,Automatic,Diesel,White,Estate,6379,4720,6050
MF07RKZ,2021-05-10,good,14.2,125000,1,partial,Ford,Focus C-Max,Manual,Petrol,Black,MPV,150,230,375
WF09YCR,2021-05-10,poor,12,114500,3,partial,Ford,Focus,Manual,Diesel,Blue,Hatchback,596,319,550
YE63FPA,2021-05-10,good,7.5,56000,3,full,MINI,Paceman,Manual,Diesel,White,SUV,4867,4680,5100
WV08KMG,2021-05-10,good,13.2,77000,1,partial,Nissan,Note,Manual,Petrol,Beige,Hatchback,604,478,775
