,,,,,,,
VRM,PurchaseDate,SaleDate,Mileage,GradeatAuction,TradeValuation2,SalePrice,Sale_TradeValuation2
DX66OGS,2021-04-12,2021-05-24,77695,4,5200,4900,94.20%
YB66YCA,2021-04-12,2021-05-27,40960,3,8300,9100,109.60%
LC59XVM,2021-04-12,2021-05-06,42344,3,1350,1025,75.90%
FY14XFJ,2021-04-12,2021-04-29,75811,2,14800,16300,110.10%
KN09GRX,2021-04-12,2021-04-29,116082,3,3425,3600,105.10%
ML61RHZ,2021-04-12,2021-04-29,193783,4,1400,1150,82.10%
WV09LGG,2021-04-13,2021-05-04,69403,4,1400,1000,71.40%
LJ62KHU,2021-04-13,2021-04-29,105079,3,2750,2600,94.50%
YA61EHS,2021-04-13,2021-05-13,80773,2,3050,3300,108.20%
KM63HGE,2021-04-13,2021-04-29,24910,2,4425,4850,109.60%
GL57VLB,2021-04-13,2021-05-13,71884,3,5150,5300,102.90%
SK09SVS,2021-04-13,2021-04-29,65328,4,1475,1175,79.70%
FL15UGA,2021-04-13,2021-05-13,97039,3,3575,4200,117.50%
SP58NNF,2021-04-13,2021-05-06,117614,3,1625,1400,86.20%
CK60YYH,2021-04-13,2021-05-10,97817,4,2200,1950,88.60%
FG62LSV,2021-04-13,2021-05-06,32764,2,6925,6700,96.80%
PF14HAE,2021-04-13,2021-05-06,34006,4,3925,3200,81.50%
EJ61UGB,2021-04-13,2021-04-29,97789,3,2025,2150,106.20%
BL14CRF,2021-04-13,2021-06-03,87716,2,2975,3350,112.60%
SE64EWO,2021-04-13,2021-04-29,31122,3,3025,2900,95.90%
KV10ZGP,2021-04-13,2021-05-05,97746,,1875,1900,101.30%
NX65PYT,2021-04-13,2021-05-17,98334,4,4125,3800,92.10%
BN14MLO,2021-04-13,2021-06-03,41582,2,3200,4150,129.70%
SW56UBM,2021-04-13,2021-05-04,146485,4,1200,650,54.20%
DE12MLY,2021-04-13,2021-04-29,88787,5,2500,2500,100.00%
HK59VDM,2021-04-14,2021-05-17,86871,4,750,350,46.70%
MA13XSY,2021-04-14,2021-04-26,16988,3,7000,7350,105.00%
NV10OZJ,2021-04-14,2021-05-25,62625,,2650,2800,105.70%
ET66KXR,2021-04-14,2021-05-17,39599,2,4125,4300,104.20%
LC59XPT,2021-04-14,2021-05-04,51969,3,4875,5800,119.00%
SJ07VWT,2021-04-14,2021-05-06,111593,4,1225,900,73.50%
YP09VYU,2021-04-14,2021-05-04,91966,,1125,1000,88.90%
KP12RZS,2021-04-14,2021-05-04,66514,2,2600,3150,121.20%
LP61JRX,2021-04-14,2021-05-17,129223,4,3400,2925,86.00%
EX62FZA,2021-04-14,2021-05-20,101636,3,4275,4150,97.10%
LS57XPO,2021-04-14,2021-06-03,43742,4,4650,4200,90.30%
BG15HLA,2021-04-14,2021-05-01,76835,,8650,9150,105.80%
AE08JRK,2021-04-14,2021-04-29,92537,4,2150,1800,83.70%
GL61EYM,2021-04-14,2021-06-03,55165,3,3375,3700,109.60%
YY60OJV,2021-04-14,2021-05-06,95791,3,1075,725,67.40%
WJ07XXO,2021-04-14,2021-05-04,64928,4,460,225,48.90%
LG10FWC,2021-04-14,2021-05-24,60715,4,2975,3100,104.20%
HG63GNY,2021-04-14,2021-05-17,101604,4,6175,6100,98.80%
EN63LLD,2021-04-14,2021-05-04,80671,4,6925,6400,92.40%
